label,data
2,"""Ad ơi, mình có mua hàng, đã nhận hàng và thanh toán thành công sao vẫn chưa nhận được mã khuyến mãi sữa TH True Milk hả ad?"",,,,,,,"
2,"Sữa TH True Milk có giòi :o Lại thêm vụ kiện tụng lớn xảy ra sau Tân Hiệp Phát nữa rồi đây  . *Thật là đau đầu quá đi*,,,,,,,"
2,"""ủa c ơi e hỏi tí, đây là loại low fat, mà có lần e đi mua e nhìn lượng calo trong 100ml của nó lại cao hơn hẳn calo trong 100ml của TH True Milk T_____T, e k hiểu luôn"",,,,,,,"
2,"""TH True Milk ơi, người nhà mình mua nhầm thùng sữa cận date (07/2016) thùng loại 1l, qua ngày cửa hàng ko cho đổi, làm sao đây TH ơi"",,,,,,,"
2,"""Tôi mua TH True Milk, thấy ghi 4 tặng 1, mà cửa hàng BiMart bảo rằng ko có tặng. Không biết tại sao?"",,,,,,,"
2,"Tẩy chay không nên dùng sữa tươi này > TH True Milk,,,,,,,"
2,"""mình quay số may mắn TH True Milk, mình quay trúng ô trúng thưởng nhưng ko thấy thông báo trúng thưởng. Toàn chúc may mắn lần sau"",,,,,,,"
2,"Xin chào TH True Milk! Hiện tại trong nhà mình có 2 loại sữa TH khác nhau từ màu sắc cho đến tất cả các chi tiết khác. mình không biết đó là giả hay thật. TH cho mình xin những hình ảnh của tất cả các sản phẩm sữa tươi của hãng mình nhé? Mình sẽ luôn cập nhật vào fb của TH.,,,,,,,"
2,"mình tham gia trả lời đầu tiên mà không may mắn TH True Milk ơi,,,,,,,"
2,"""TH True Milk, chuyên gia làm từ thiện sữa cận date"",,,,,,,"
2,"I hate TH True Milk :v,,,,,,,"
2,"Cách đây một tháng em đổi qua cho bé uống sữa tươi TH True Milk được một tuần nhưng bé thường hay đói bụng khi ngủ và khóc quấy về đêm nên em cho bé tiếp tục uống sữa công thức vào buổi tối trước khi đi ngủ. Nhờ Ad tư vấn dùm em với,,,,,,,"
2,"Mình nói thật là TH True Milk hơi bị nhiều nước hơn sữa,,,,,,,"
